model,id,category,question,reference_answer,expected_source,top_k,prompt_variant,num_predict,timeout,context_expansion,success,answer,top_sources,retrieval_hit,reference_overlap,reasoning_faithfulness,retrieval_rounds,retrieve_time,generate_time,total_time,error
deepseek-r1:7b-qwen-distill-q4_K_M,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,4,baseline,64,360,False,1,,operating_systems.md(0.7950); operating_systems.md(0.4240); database_systems.md(0.4000); database_systems.md(0.3770),1,0.0,0.0,1,0.5911,158.0931,158.6843,
deepseek-r1:7b-qwen-distill-q4_K_M,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,4,baseline,64,360,False,1,,operating_systems.md(0.7415); database_systems.md(0.4439); ai_rag_notes.md(0.4212); ai_rag_notes.md(0.4136),1,0.0,0.0,1,0.6297,164.0875,164.7174,
deepseek-r1:7b-qwen-distill-q4_K_M,16,数据库,关系数据库中的主键和外键分别有什么作用？,主键唯一标识表中记录，外键表达表之间的引用关系。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.8464); database_systems.md(0.5224); computer_networks.md(0.4198); ai_rag_notes.md(0.3992),1,0.0,0.0,1,0.5718,141.1244,141.6963,
deepseek-r1:7b-qwen-distill-q4_K_M,17,数据库,数据库规范化的目的是什么？,规范化用于减少数据冗余和更新异常，提高数据一致性。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.7716); ai_rag_notes.md(0.4000); computer_networks.md(0.3899); computer_networks.md(0.3646),1,0.0,0.0,1,0.6152,123.2639,123.8793,
deepseek-r1:7b-qwen-distill-q4_K_M,18,数据库,第三范式主要约束什么问题？,第三范式要求非主属性不传递依赖候选键，以减少传递依赖带来的异常。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.8500); ai_rag_notes.md(0.5739); ai_rag_notes.md(0.4313); ai_rag_notes.md(0.4081),1,0.0,0.0,1,0.5649,136.8772,137.4422,
deepseek-r1:7b-qwen-distill-q4_K_M,19,数据库,B+ 树索引为什么适合范围查询？,B+ 树叶子节点按键值有序并通过链表相连，便于顺序扫描范围数据。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.8500); computer_networks.md(0.3576); computer_networks.md(0.3520); database_systems.md(0.3373),1,0.0,0.0,1,0.6008,108.9721,109.573,
deepseek-r1:7b-qwen-distill-q4_K_M,20,数据库,索引会带来哪些代价？,索引会占用额外存储空间，并增加插入、删除、更新时维护索引的开销。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.8022); database_systems.md(0.4520); arxiv_002_2605.22820v1.md(0.3923); computer_networks.md(0.3916),1,0.0,0.0,1,0.5533,130.3843,130.9377,
deepseek-r1:7b-qwen-distill-q4_K_M,21,数据库,事务 ACID 分别表示什么？,ACID 表示原子性、一致性、隔离性和持久性。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.9179); database_systems.md(0.8267); computer_networks.md(0.4265); ai_rag_notes.md(0.3350),1,0.0,0.0,1,0.5164,133.7321,134.2486,
deepseek-r1:7b-qwen-distill-q4_K_M,22,数据库,MVCC 如何减少读写冲突？,MVCC 保存数据多个版本，让读操作读取一致性快照，从而减少读写冲突。,database_systems.md,4,baseline,64,360,False,1,,database_systems.md(0.8527); arxiv_020_2605.22765v1.md(0.4099); arxiv_004_2605.22814v1.md(0.3879),1,0.0,0.0,1,0.5501,93.6328,94.1829,
deepseek-r1:7b-qwen-distill-q4_K_M,23,人工智能,Transformer 为什么不依赖循环结构也能建模序列关系？,Transformer 通过自注意力计算序列中不同位置之间的关联，并使用位置编码补充词序信息。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.9535); cse_017_acknowledgments.md(0.5139); cse_006_data-processing.md(0.5075); arxiv_015_2605.22775v1.md(0.4583),1,0.0,0.0,1,0.7186,105.8446,106.5633,
deepseek-r1:7b-qwen-distill-q4_K_M,24,人工智能,多头注意力的作用是什么？,多头注意力可以在多个表示子空间中学习不同关系，增强模型表达能力。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.8500); computer_networks.md(0.4775); computer_networks.md(0.4175); database_systems.md(0.3238),1,0.0,0.0,1,0.6771,146.1391,146.8163,
deepseek-r1:7b-qwen-distill-q4_K_M,25,RAG,Ollama 本地部署在课程设计中有什么优势？,本地部署使专业文档无需上传第三方服务，便于保护隐私和复现实验环境。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.9068); computer_networks.md(0.4199); operating_systems.md(0.3220); computer_networks.md(0.3130),1,0.0,0.0,1,0.6217,176.762,177.3838,
deepseek-r1:7b-qwen-distill-q4_K_M,26,RAG,Embedding 在 RAG 中承担什么任务？,Embedding 把文本映射为高维向量，使系统能用余弦相似度进行语义检索。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.8316); ai_rag_notes.md(0.8300); cse_006_data-processing.md(0.7637); cse_005_dataset-size.md(0.6068),1,0.0,0.0,1,1.0572,124.7065,125.7638,
deepseek-r1:7b-qwen-distill-q4_K_M,27,RAG,RAG 的基本流程是什么？,RAG 流程包括文档解析、文本切分、向量化入库、问题向量化、相似度检索、Prompt 拼接和答案生成。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(1.0000); cse_009_using-with-rag-systems.md(0.6112); ai_rag_notes.md(0.6111); operating_systems.md(0.5471),1,0.0,0.0,1,0.6611,158.4292,159.0904,
deepseek-r1:7b-qwen-distill-q4_K_M,28,RAG,RAG 可以缓解大模型的哪些问题？,RAG 可以缓解知识过时、专业知识不足和幻觉问题。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.9696); ai_rag_notes.md(0.6744); cse_009_using-with-rag-systems.md(0.5338); cse_001_cse-course-rag-dataset.md(0.4946),1,0.0,0.0,1,0.76,137.9909,138.7511,
deepseek-r1:7b-qwen-distill-q4_K_M,29,RAG,专业文档问答的 Prompt 为什么要要求拒绝编造？,因为检索片段可能没有答案，拒绝编造可以降低幻觉并提升答案可信度。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.9782); ai_rag_notes.md(0.8337); ai_rag_notes.md(0.3520); database_systems.md(0.3433),1,0.0,0.0,1,0.8459,147.4424,148.2884,
deepseek-r1:7b-qwen-distill-q4_K_M,30,RAG,影响 RAG 最终效果的关键因素有哪些？,检索质量、文档切分策略和提示词约束会直接影响最终问答效果。,ai_rag_notes.md,4,baseline,64,360,False,1,,ai_rag_notes.md(0.9274); cse_009_using-with-rag-systems.md(0.6647); ai_rag_notes.md(0.5464); cse_001_cse-course-rag-dataset.md(0.5303),1,0.0,0.0,1,0.6419,131.1872,131.8293,
qwen2.5:7b-instruct-q4_K_M,1,网络,计算机网络采用分层体系结构的主要意义是什么？,分层可以降低复杂度，使每层只关注本层职责并通过接口向上层提供服务，便于协议替换和故障定位。,computer_networks.md,4,baseline,64,360,False,1,"计算机网络采用分层体系结构的主要意义在于降低系统复杂度，使得每一层只关注本层职责，并通过接口向上层提供服务。这样既方便协议替换，也便于定位网络故障。

- 关键概念：分层体系结构将复杂的网络通信任务分解为多个层次，每个层次",computer_networks.md(0.8500); computer_networks.md(0.3656); ai_rag_notes.md(0.3626); database_systems.md(0.3553),1,0.9268,0.0,1,1.0821,223.2977,224.38,
qwen2.5:7b-instruct-q4_K_M,2,网络,OSI 参考模型包含哪些层？,OSI 参考模型包含物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。,computer_networks.md,4,baseline,64,360,False,1,"OSI参考模型包含了物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。

- 物理层负责定义了通过物理媒体传输的原始比特流；
- 数据链路层确保了相邻节点之间可靠的数据传输，包括差错检测",computer_networks.md(0.9195); arxiv_004_2605.22814v1.md(0.4654); arxiv_012_2605.22781v1.md(0.4421); ai_rag_notes.md(0.4369),1,0.0,0.0,1,0.756,120.4095,121.1655,
qwen2.5:7b-instruct-q4_K_M,3,网络,TCP 为什么适合文件传输和网页访问？,TCP 面向连接并提供可靠传输，使用确认、重传、流量控制和拥塞控制保证数据可靠到达。,computer_networks.md,4,baseline,64,360,False,1,"TCP（传输控制协议）适合文件传输和网页访问的原因在于其能够提供可靠的数据传输服务。具体来说：

1. **三次握手建立连接**：在数据传输之前，TCP 通过三次握手过程确保双方已经准备好进行通信，这有助于避免未预期的错误。
2. **序",computer_networks.md(0.9002); computer_networks.md(0.4499); ai_rag_notes.md(0.4000); database_systems.md(0.3712),1,0.0,0.0,1,0.7327,182.4017,183.1344,
qwen2.5:7b-instruct-q4_K_M,4,网络,UDP 的特点和典型应用场景是什么？,UDP 无连接、开销小、时延低，不保证可靠交付，常用于 DNS、实时音视频和在线游戏。,computer_networks.md,4,baseline,64,360,False,1,"UDP 是无连接传输协议，不保证可靠交付且不维护连接状态，因此具有较小的协议开销和较低的时延。其典型应用场景包括 DNS 查询、实时音视频通信以及在线游戏等对实时性要求较高的场景。

- 关键概念：无连接、小协议开销",computer_networks.md(0.9102); computer_networks.md(0.7823); computer_networks.md(0.4248); ai_rag_notes.md(0.4163),1,0.3333,0.0,1,0.6936,128.0373,128.7311,
qwen2.5:7b-instruct-q4_K_M,5,网络,CIDR 中 192.168.1.0/24 表示什么？,它表示前 24 位是网络前缀，对应 192.168.1.0 这个网络范围。,computer_networks.md,4,baseline,64,360,False,1,"CIDR 中 192.168.1.0/24 表示前 24 位是网络前缀。

- 关键概念：CIDR（无类别域间路由）使用“地址/前缀长度”的方式表示网络范围，其中的“/2",computer_networks.md(1.0000); arxiv_013_2605.22779v1.md(0.3728); arxiv_011_2605.22785v1.md(0.3041); arxiv_014_2605.22776v1.md(0.3022),1,0.2,0.0,1,0.5857,130.4961,131.0819,
qwen2.5:7b-instruct-q4_K_M,6,网络,HTTPS 相比 HTTP 增加了哪些安全能力？,HTTPS 在 HTTP 与 TCP 之间加入 TLS，提供身份认证、数据加密和完整性校验。,computer_networks.md,4,baseline,64,360,False,1,"HTTPS相比HTTP增加了身份认证、数据加密和完整性校验的能力。具体来说：
- **身份认证**：通过TLS握手过程验证服务器的身份，确保用户连接的是正确的网站。
- **数据加密**：使用对称或非对称加密技术保护传输中的数据不被窃听或篡",computer_networks.md(0.8749); arxiv_002_2605.22820v1.md(0.5843); ai_rag_notes.md(0.5679); arxiv_009_2605.22791v1.md(0.5673),1,0.0,0.0,1,0.6004,132.4627,133.0633,
qwen2.5:7b-instruct-q4_K_M,7,网络,DNS 缓存有什么作用？,DNS 缓存可以减少重复查询并提高访问速度，但缓存过期时间会影响域名变更生效速度。,computer_networks.md,4,baseline,64,360,False,1,"DNS缓存可以减少重复查询，提高访问速度。但是，DNS缓存的过期时间也会影响域名变更生效的速度。

- 关键概念：DNS缓存存储了最近解析过的域名及其对应的IP地址记录。
- 步骤或原因：
  1. 客户端首先",computer_networks.md(0.9476); computer_networks.md(0.6611); computer_networks.md(0.4894); arxiv_002_2605.22820v1.md(0.4257),1,0.0,0.0,1,0.5396,149.7287,150.2684,
qwen2.5:7b-instruct-q4_K_M,8,操作系统,进程和线程的核心区别是什么？,进程是资源分配和保护的基本单位，线程是 CPU 调度的基本单位；同一进程内线程共享地址空间和资源。,operating_systems.md,4,baseline,64,360,False,1,"进程与线程的主要区别在于它们的资源独立性和调度特性。进程拥有独立的地址空间、打开文件等资源，并且在操作系统层面是相互隔离的；而线程则共享同一进程的地址空间和其他大部分资源，仅拥有程序计数器、寄存器和栈。

1",operating_systems.md(0.8125); operating_systems.md(0.4023); computer_networks.md(0.4000); ai_rag_notes.md(0.3770),1,0.0,0.0,1,0.8189,158.1099,158.929,
qwen2.5:7b-instruct-q4_K_M,9,操作系统,线程共享数据为什么还需要锁或信号量？,线程共享进程地址空间，多个线程并发访问共享数据可能产生竞态条件，因此需要同步机制。,operating_systems.md,4,baseline,64,360,False,1,"线程共享数据时需要使用锁或信号量来处理并发访问带来的竞态条件。这是因为多个线程可能同时读写同一块内存区域，如果缺乏适当的同步机制，可能会导致数据不一致或其他错误。

1. **关键概念**：在多线程环境中，每个线程都",operating_systems.md(0.8318); database_systems.md(0.4722); computer_networks.md(0.4423); ai_rag_notes.md(0.4239),1,0.7714,0.0,1,0.7994,176.0313,176.8308,
qwen2.5:7b-instruct-q4_K_M,10,操作系统,时间片轮转调度为什么适合交互式系统？,时间片轮转为每个就绪进程分配固定时间片，提升公平性和响应性。,operating_systems.md,4,baseline,64,360,False,1,"时间片轮转调度算法在交互式系统中表现出色，因为它能够为每个就绪进程分配固定的时间片，从而确保每个进程都能定期获得CPU的执行机会。这样可以提高系统的响应性和公平性。

- 关键概念：时间片轮转是一种非抢占式的调度策略，它",operating_systems.md(0.7571); database_systems.md(0.4287); ai_rag_notes.md(0.3621); computer_networks.md(0.3510),1,0.9615,0.0,1,0.5896,177.2689,177.8586,
qwen2.5:7b-instruct-q4_K_M,11,操作系统,虚拟内存的作用是什么？,虚拟内存将进程地址空间与物理内存解耦，扩大可用地址空间、提供隔离并支持按需分页。,operating_systems.md,4,baseline,64,360,False,1,"虚拟内存的主要作用是扩大可用地址空间、提供进程隔离、简化程序装载以及支持按需分页。

- 扩大可用地址空间：通过将虚拟地址与物理内存解耦，每个进程可以使用比实际物理内存更大的地址空间。这不仅提高了编程的灵活性，还减少了因",operating_systems.md(0.8500); operating_systems.md(0.6028); computer_networks.md(0.5271); computer_networks.md(0.4159),1,0.9706,0.0,1,0.5681,158.4036,158.9717,
qwen2.5:7b-instruct-q4_K_M,12,操作系统,缺页中断频繁会导致什么问题？,频繁缺页会使系统不断换入换出页面，导致抖动和性能下降。,operating_systems.md,4,baseline,64,360,False,1,"缺页中断频繁会导致系统抖动和性能下降。

- 关键概念：缺页中断是指当进程访问的虚拟地址没有映射到物理内存时，操作系统会触发的一种异常处理机制。这通常意味着需要从磁盘上将对应的页面调入内存中。
- 步骤或",operating_systems.md(0.8173); ai_rag_notes.md(0.4418); computer_networks.md(0.4000); database_systems.md(0.3798),1,0.84,0.0,1,0.5334,156.2609,156.7944,
qwen2.5:7b-instruct-q4_K_M,13,操作系统,死锁产生的四个必要条件是什么？,四个必要条件是互斥、占有并等待、不可抢占和循环等待。,operating_systems.md,4,baseline,64,360,False,1,"死锁产生的四个必要条件分别是互斥、占有并等待、不可抢占和循环等待。

- 互斥：至少有一个资源不能被多个进程同时访问。这意味着在某个时刻，一个资源只能由一个进程使用。
- 占有并等待：当一个进程已经占有了某些资源，并",operating_systems.md(0.7598); computer_networks.md(0.4000); computer_networks.md(0.3584); ai_rag_notes.md(0.3432),1,1.0,0.0,1,0.8975,165.2032,166.1007,
qwen2.5:7b-instruct-q4_K_M,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,4,baseline,64,360,False,1,"银行家算法属于死锁避免策略。

### 关键概念与步骤：
- **互斥条件**：资源分配时只能一次一个进程使用。
- **请求和保持条件**：进程已持有至少一个资源，并申请新的资源。
- **不剥夺条件**：进程持有的资源不能被其他",operating_systems.md(0.7950); operating_systems.md(0.4240); database_systems.md(0.4000); database_systems.md(0.3770),1,0.5758,0.0,1,0.6311,188.7929,189.4241,
qwen2.5:7b-instruct-q4_K_M,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,4,baseline,64,360,False,1,"日志文件系统通过记录元数据操作日志，在系统崩溃后能够恢复文件系统的结构一致性。这主要是因为日志文件系统在真正修改文件系统结构之前会先记录这些操作的日志。

1. **关键概念**：日志文件系统是一种特殊的文件系统，它会在进行任何",operating_systems.md(0.7415); database_systems.md(0.4439); ai_rag_notes.md(0.4212); ai_rag_notes.md(0.4136),1,0.9032,0.0,1,0.6534,176.3591,177.0126,
qwen2.5:7b-instruct-q4_K_M,16,数据库,关系数据库中的主键和外键分别有什么作用？,主键唯一标识表中记录，外键表达表之间的引用关系。,database_systems.md,4,baseline,64,360,False,1,"主键用于唯一标识关系数据库表中的记录，而外键则用于表达不同表之间的引用关系。

- 关键概念：主键是关系模型中用于唯一标识表中记录的属性或一组属性。外键则是定义在一张表中的字段，它与另一张表的主键",database_systems.md(0.8464); database_systems.md(0.5224); computer_networks.md(0.4198); ai_rag_notes.md(0.3992),1,1.0,0.0,1,0.709,171.3786,172.0877,
qwen2.5:7b-instruct-q4_K_M,17,数据库,数据库规范化的目的是什么？,规范化用于减少数据冗余和更新异常，提高数据一致性。,database_systems.md,4,baseline,64,360,False,1,"数据库规范化的主要目的是减少数据冗余和更新异常，从而提高数据的一致性和完整性。

- 关键概念：第一范式要求属性不可再分；第二范式要求非主属性完全依赖候选键；第三范式要求非主属性不传递依赖候选键。
- 步骤或",database_systems.md(0.7716); ai_rag_notes.md(0.4000); computer_networks.md(0.3899); computer_networks.md(0.3646),1,0.913,0.0,1,0.6813,145.5075,146.1889,
qwen2.5:7b-instruct-q4_K_M,18,数据库,第三范式主要约束什么问题？,第三范式要求非主属性不传递依赖候选键，以减少传递依赖带来的异常。,database_systems.md,4,baseline,64,360,False,1,"第三范式主要用于解决非主属性对候选键的传递依赖问题。

- 关键概念：在数据库设计中，第三范式（3NF）要求每个非主属性都完全依赖于主关键字，而非主属性之间不应存在传递依赖关系。这意味着一个非主属性不能通过其他非",database_systems.md(0.8500); ai_rag_notes.md(0.5739); ai_rag_notes.md(0.4313); ai_rag_notes.md(0.4081),1,0.75,0.0,1,0.6297,158.3004,158.9302,
qwen2.5:7b-instruct-q4_K_M,19,数据库,B+ 树索引为什么适合范围查询？,B+ 树叶子节点按键值有序并通过链表相连，便于顺序扫描范围数据。,database_systems.md,4,baseline,64,360,False,1,B+树索引适合范围查询的原因在于其结构特性。首先，B+树的叶子节点是有序的，并且通过链表相连，这使得可以高效地进行顺序访问；其次，所有数据都存储在叶子节点中，非叶子节点只包含键值和指向子节点的,database_systems.md(0.8500); computer_networks.md(0.3576); computer_networks.md(0.3520); database_systems.md(0.3373),1,0.0,0.0,1,0.5905,111.9192,112.5099,
qwen2.5:7b-instruct-q4_K_M,20,数据库,索引会带来哪些代价？,索引会占用额外存储空间，并增加插入、删除、更新时维护索引的开销。,database_systems.md,4,baseline,64,360,False,1,"索引能提高读取性能，但会占用额外存储空间，并增加插入、删除和更新时维护索引的开销。

- 索引会占用额外的存储空间来保存索引结构；
- 插入、删除和更新操作需要维护索引的一致性，这",database_systems.md(0.8022); database_systems.md(0.4520); arxiv_002_2605.22820v1.md(0.3923); computer_networks.md(0.3916),1,1.0,0.0,1,0.7225,128.6552,129.3778,
qwen2.5:7b-instruct-q4_K_M,21,数据库,事务 ACID 分别表示什么？,ACID 表示原子性、一致性、隔离性和持久性。,database_systems.md,4,baseline,64,360,False,1,"事务ACID分别代表原子性（Atomicity）、一致性（Consistency）、隔离性（Isolation）和持久性（Durability）。这些特性确保了数据库操作的正确性和可靠性。

- 原子性：保证事务中的所有操作要么全部成功，要么全部失败。
- 一致性：",database_systems.md(0.9179); database_systems.md(0.8267); computer_networks.md(0.4265); ai_rag_notes.md(0.3350),1,0.0,0.0,1,0.7159,136.3811,137.097,
qwen2.5:7b-instruct-q4_K_M,22,数据库,MVCC 如何减少读写冲突？,MVCC 保存数据多个版本，让读操作读取一致性快照，从而减少读写冲突。,database_systems.md,4,baseline,64,360,False,1,"MVCC 通过保存数据的多个版本，让读操作可以读取一致性快照，从而减少读写冲突。

- 关键概念：MVCC（多版本并发控制）是一种数据库技术，它允许在事务执行期间存在多个数据版本。每个插入、更新或删除操作都会创建一个新的",database_systems.md(0.8527); arxiv_020_2605.22765v1.md(0.4099); arxiv_004_2605.22814v1.md(0.3879),1,0.5,0.0,1,0.6202,77.6023,78.2227,
qwen2.5:7b-instruct-q4_K_M,23,人工智能,Transformer 为什么不依赖循环结构也能建模序列关系？,Transformer 通过自注意力计算序列中不同位置之间的关联，并使用位置编码补充词序信息。,ai_rag_notes.md,4,baseline,64,360,False,1,"Transformer 不依赖循环结构也能建模序列关系，主要是因为它采用了自注意力机制。这种机制允许模型在计算某个位置的表示时直接关注序列中的其他任意位置，从而构建复杂的序列间关系。

1. **关键概念**：自注意力机制是Transformer的核心，它能够捕捉序列中不同",ai_rag_notes.md(0.9535); cse_017_acknowledgments.md(0.5139); cse_006_data-processing.md(0.5075); arxiv_015_2605.22775v1.md(0.4583),1,0.5,0.0,1,0.4692,103.1063,103.5756,
qwen2.5:7b-instruct-q4_K_M,24,人工智能,多头注意力的作用是什么？,多头注意力可以在多个表示子空间中学习不同关系，增强模型表达能力。,ai_rag_notes.md,4,baseline,64,360,False,1,"多头注意力机制可以学习序列中不同位置之间的多种关系，从而提高模型对输入信息的理解能力。

- 关键概念：多头注意力机制是Transformer架构中的一个重要组成部分。它通过并行计算多个独立的“注意力头”来捕捉输入序列的不同方面和关系。
- 步骤",ai_rag_notes.md(0.8500); computer_networks.md(0.4775); computer_networks.md(0.4175); database_systems.md(0.3238),1,0.7241,0.0,1,0.5182,144.1067,144.625,
qwen2.5:7b-instruct-q4_K_M,25,RAG,Ollama 本地部署在课程设计中有什么优势？,本地部署使专业文档无需上传第三方服务，便于保护隐私和复现实验环境。,ai_rag_notes.md,4,baseline,64,360,False,1,"Ollama 本地部署在课程设计中的优势在于保护专业文档隐私并方便复现实验环境。

1. **保护专业文档隐私**：通过本地部署大语言模型，数据不需要上传到第三方服务，从而避免了敏感信息泄露的风险。这确保了用户的数据安全性和隐私性。",ai_rag_notes.md(0.9068); computer_networks.md(0.4199); operating_systems.md(0.3220); computer_networks.md(0.3130),1,0.9394,0.0,1,0.6077,147.1455,147.7533,
