retrieval_mode,id,category,question,reference_answer,expected_source,model,top_k,prompt_variant,num_predict,timeout,context_expansion,success,answer,top_sources,retrieval_hit,reference_overlap,reasoning_faithfulness,retrieval_rounds,retrieve_time,generate_time,total_time,error
vector,11,操作系统,虚拟内存的作用是什么？,虚拟内存将进程地址空间与物理内存解耦，扩大可用地址空间、提供隔离并支持按需分页。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"虚拟内存的主要作用是把进程看到的地址空间与物理内存解耦。操作系统通过页表将虚拟页映射到物理页框，并可以将暂时不用的页面换出到磁盘。

- 关键概念：虚拟内存、页表、物理页框、磁盘。
- 步",operating_systems.md(0.6712); computer_networks.md(0.6700); computer_networks.md(0.5899); arxiv_016_2605.22774v1.md(0.5877),1,0.6765,0.0,1,0.6444,135.7591,136.4037,
vector,12,操作系统,缺页中断频繁会导致什么问题？,频繁缺页会使系统不断换入换出页面，导致抖动和性能下降。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"缺页中断频繁会导致系统抖动和性能下降。

- 缺页中断是指虚拟内存管理中，当进程访问的页面不在物理内存中时发生的中断。这通常意味着需要从磁盘调入所需页面到内存中。
- 当缺页中断频繁发生时，操作系统需要不断将",computer_networks.md(0.6431); database_systems.md(0.6256); operating_systems.md(0.6148); database_systems.md(0.6096),1,0.88,0.0,1,0.8003,139.0476,139.848,
vector,13,操作系统,死锁产生的四个必要条件是什么？,四个必要条件是互斥、占有并等待、不可抢占和循环等待。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
[片段1] 计算机网络基础资料 - computer_networks.md
[片段2] 密和完整性校验 - computer_networks.md
[片段3] 人工智能与 RAG 技术资料 - ai_rag_notes.md",computer_networks.md(0.6082); computer_networks.md(0.5756); ai_rag_notes.md(0.5637); arxiv_002_2605.22820v1.md(0.5515),0,0.1364,1.0,1,0.6613,129.2856,129.9469,
vector,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
[片段1] 文件：database_systems.md
[片段3] 文件：database_systems.md",database_systems.md(0.6832); operating_systems.md(0.6637); database_systems.md(0.6625); computer_networks.md(0.6548),1,0.0606,1.0,1,0.8226,151.6823,152.505,
vector,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

[片段1] 和 [片段4] 主要讨论了 RAG 技术和 Prompt 约束，并未涉及日志文件系统及其崩溃恢复能力的相关内容。[片段2] 和 [片段3] 则分别介绍了 Embedding 与语",ai_rag_notes.md(0.6795); ai_rag_notes.md(0.6781); database_systems.md(0.6503); ai_rag_notes.md(0.6355),0,0.3871,1.0,1,0.7153,136.2616,136.9771,
vector,16,数据库,关系数据库中的主键和外键分别有什么作用？,主键唯一标识表中记录，外键表达表之间的引用关系。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"主键用于唯一标识关系数据库表中的记录，而外键则用于表达不同表之间的引用关系。

- 关键概念：主键（Primary Key）是关系模型中用来唯一标识一个元组的属性或一组属性。它确保了每个元组在表中的唯一性。
-",database_systems.md(0.6541); ai_rag_notes.md(0.6532); database_systems.md(0.6504); computer_networks.md(0.6316),1,1.0,0.0,1,0.7218,112.1318,112.8537,
vector,17,数据库,数据库规范化的目的是什么？,规范化用于减少数据冗余和更新异常，提高数据一致性。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

根据提供的参考资料，这些内容主要涉及计算机网络的基础知识、TCP与UDP协议以及AI相关的RAG系统，并未提及数据库规范化的目的。因此无法直接回答该问题并提供相关依据。",ai_rag_notes.md(0.6632); computer_networks.md(0.6546); computer_networks.md(0.6224); ai_rag_notes.md(0.6217),0,0.3478,0.0,1,0.7284,119.4108,120.1393,
vector,18,数据库,第三范式主要约束什么问题？,第三范式要求非主属性不传递依赖候选键，以减少传递依赖带来的异常。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"第三范式主要约束非主属性不传递依赖候选键的问题。

- 关键概念：在数据库设计中，第三范式（3NF）要求关系模式中的每个非主属性都完全函数依赖于整个候选键。这意味着非主属性不能通过其他非主属性间接地依赖于候选",database_systems.md(0.5738); arxiv_002_2605.22820v1.md(0.5515); computer_networks.md(0.5450); arxiv_011_2605.22785v1.md(0.5423),1,0.75,0.0,1,0.6582,107.4731,108.1314,
vector,19,数据库,B+ 树索引为什么适合范围查询？,B+ 树叶子节点按键值有序并通过链表相连，便于顺序扫描范围数据。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"B+树索引适合范围查询的原因在于其结构特点：叶子节点按键值有序，并通过链表相连。这种设计使得在进行范围查询时能够高效地遍历相关数据。

### 关键概念与步骤：
1. **有序性**：B+树的叶子节点按键值",database_systems.md(0.6389); computer_networks.md(0.5845); arxiv_006_2605.22800v1.md(0.5829); ai_rag_notes.md(0.5829),1,0.0,0.0,1,0.6707,126.8091,127.4799,
vector,20,数据库,索引会带来哪些代价？,索引会占用额外存储空间，并增加插入、删除、更新时维护索引的开销。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"索引会占用额外存储空间，并增加插入、删除和更新时维护索引的开销。

- 索引占用额外存储空间：创建索引需要为每个索引项分配一定的存储资源。这不仅增加了数据库的整体存储需求，还可能影响数据读取速度。
-",database_systems.md(0.6036); arxiv_002_2605.22820v1.md(0.5984); computer_networks.md(0.5979); operating_systems.md(0.5846),1,1.0,0.0,1,0.6885,121.6254,122.3139,
vector,21,数据库,事务 ACID 分别表示什么？,ACID 表示原子性、一致性、隔离性和持久性。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"事务的ACID特性分别代表原子性（Atomicity）、一致性（Consistency）、隔离性（Isolation）和持久性（Durability）。这四个特性确保了数据库操作的安全性和正确性。

- **原子性**：保证事务中的所有操作要么全部成功，要么全部失败。如果一个",computer_networks.md(0.7295); database_systems.md(0.6965); ai_rag_notes.md(0.6701); database_systems.md(0.6545),1,0.0,0.0,1,0.6471,133.4282,134.0755,
vector,22,数据库,MVCC 如何减少读写冲突？,MVCC 保存数据多个版本，让读操作读取一致性快照，从而减少读写冲突。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

[片段1] 和 [片段2] 的内容与 MVCC（多版本并发控制）无关，因此无法直接回答用户关于 MVCC 如何减少读写冲突的问题。",arxiv_020_2605.22765v1.md(0.7203); arxiv_008_2605.22794v1.md(0.7050),0,0.5,1.0,1,0.6716,62.7233,63.395,
vector,23,人工智能,Transformer 为什么不依赖循环结构也能建模序列关系？,Transformer 通过自注意力计算序列中不同位置之间的关联，并使用位置编码补充词序信息。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：[片段2] 计算机网络基础资料，[片段3] DNS 解析，[片段4] Uniform Diffusion Models Revisited: Leave-One-Out Denoiser and Absorbing State Reformulation。",ai_rag_notes.md(0.6933); computer_networks.md(0.6896); computer_networks.md(0.6659); arxiv_020_2605.22765v1.md(0.6624),1,0.0,1.0,1,0.7175,108.5212,109.2387,
vector,24,人工智能,多头注意力的作用是什么？,多头注意力可以在多个表示子空间中学习不同关系，增强模型表达能力。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"多头注意力机制可以学习序列中不同位置之间的多种关系，并通过多个并行的子空间来增强模型对输入的理解。

- 关键概念：多头注意力是Transformer架构中的一个核心组件。它允许模型在不同的表示子空间中学习到输入序列的不同方面，从而提高模型的",ai_rag_notes.md(0.7116); database_systems.md(0.6364); computer_networks.md(0.5842); computer_networks.md(0.5840),1,0.931,0.0,1,0.667,145.1281,145.7952,
vector,25,RAG,Ollama 本地部署在课程设计中有什么优势？,本地部署使专业文档无需上传第三方服务，便于保护隐私和复现实验环境。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"Ollama 本地部署在课程设计中的优势在于能够保护专业文档隐私，并方便复现实验环境。

1. **保护专业文档隐私**：通过本地部署大语言模型，数据不需要上传到第三方服务，从而避免了敏感信息的泄露风险。这确保了用户的数据安全和隐私",computer_networks.md(0.7625); operating_systems.md(0.6685); ai_rag_notes.md(0.6503); computer_networks.md(0.6409),1,0.9394,0.0,1,0.8052,144.4936,145.2989,
vector,26,RAG,Embedding 在 RAG 中承担什么任务？,Embedding 把文本映射为高维向量，使系统能用余弦相似度进行语义检索。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
- 片段2：ai_rag_notes.md",computer_networks.md(0.6577); ai_rag_notes.md(0.6253); operating_systems.md(0.6220); arxiv_002_2605.22820v1.md(0.6182),1,0.0,0.0,1,0.6543,100.3249,100.9793,
vector,27,RAG,RAG 的基本流程是什么？,RAG 流程包括文档解析、文本切分、向量化入库、问题向量化、相似度检索、Prompt 拼接和答案生成。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"RAG（Retrieval-Augmented Generation）的基本流程包括文档解析、文本切分、向量化入库、问题向量化、相似度检索、Prompt 拼接和答案生成。

1. **文档解析**：首先对输入的文档进行解析，提取出关键信息。
2. **",ai_rag_notes.md(0.6894); computer_networks.md(0.6564); ai_rag_notes.md(0.6477); operating_systems.md(0.6378),1,0.3333,0.0,1,0.8045,138.7522,139.5568,
vector,28,RAG,RAG 可以缓解大模型的哪些问题？,RAG 可以缓解知识过时、专业知识不足和幻觉问题。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"RAG（Retrieval-Augmented Generation）可以缓解大模型在处理长文档理解与生成时的局限性。具体来说，RAG通过结合检索和生成的方式，能够提高生成内容的相关性和准确性。

1. **关键概念**：RAG系统通常先把文档切分成片段，并为",computer_networks.md(0.6263); operating_systems.md(0.6135); ai_rag_notes.md(0.6120); database_systems.md(0.6034),1,0.0,0.0,1,0.7443,146.6409,147.3853,
vector,29,RAG,专业文档问答的 Prompt 为什么要要求拒绝编造？,因为检索片段可能没有答案，拒绝编造可以降低幻觉并提升答案可信度。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"专业文档问答的Prompt要求模型拒绝编造答案是因为在专业领域中，信息的准确性和可靠性至关重要。这样可以确保提供的信息是基于实际资料而非虚构内容。

1. **关键概念**：在专业文档问答场景下，用户期望获得的信息必须准确无误且基于可靠的来源。",ai_rag_notes.md(0.7541); ai_rag_notes.md(0.7298); database_systems.md(0.6759); ai_rag_notes.md(0.6520),1,0.5,0.0,1,0.6853,134.1481,134.8336,
vector,30,RAG,影响 RAG 最终效果的关键因素有哪些？,检索质量、文档切分策略和提示词约束会直接影响最终问答效果。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：[片段1] 文件：ai_rag_notes.md",ai_rag_notes.md(0.6591); computer_networks.md(0.6235); arxiv_002_2605.22820v1.md(0.6114); database_systems.md(0.6088),1,0.1034,1.0,1,0.7427,98.3287,99.0715,
hybrid,1,网络,计算机网络采用分层体系结构的主要意义是什么？,分层可以降低复杂度，使每层只关注本层职责并通过接口向上层提供服务，便于协议替换和故障定位。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"计算机网络采用分层体系结构的主要意义在于通过将复杂系统分解为多个层次来降低系统的整体复杂度。这样每一层只关注本层职责，并通过接口向上层提供服务，既方便协议替换也便于定位网络故障。

1. **关键概念**：每一层都专注于特定的功能",computer_networks.md(0.8500); computer_networks.md(0.3656); ai_rag_notes.md(0.3626); database_systems.md(0.3553),1,0.9024,0.0,1,0.8307,180.887,181.7178,
hybrid,2,网络,OSI 参考模型包含哪些层？,OSI 参考模型包含物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"OSI参考模型包含了物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。

- 物理层负责定义了通过物理媒体传输的原始比特流；
- 数据链路层确保了相邻节点之间可靠的数据传输；
- 网",computer_networks.md(0.9195); arxiv_004_2605.22814v1.md(0.4654); arxiv_012_2605.22781v1.md(0.4421); ai_rag_notes.md(0.4369),1,0.0,0.0,1,0.7278,112.4563,113.1841,
hybrid,3,网络,TCP 为什么适合文件传输和网页访问？,TCP 面向连接并提供可靠传输，使用确认、重传、流量控制和拥塞控制保证数据可靠到达。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"TCP（传输控制协议）适合文件传输和网页访问的原因在于其能够提供可靠的数据传输服务。具体来说：

1. **三次握手建立连接**：在数据传输之前，TCP 通过三次握手过程确保双方都准备好进行通信；
2. **序号、确认应答与重传",computer_networks.md(0.9002); computer_networks.md(0.4499); ai_rag_notes.md(0.4000); database_systems.md(0.3712),1,0.0,0.0,1,0.6293,174.9789,175.6084,
hybrid,4,网络,UDP 的特点和典型应用场景是什么？,UDP 无连接、开销小、时延低，不保证可靠交付，常用于 DNS、实时音视频和在线游戏。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"UDP 是无连接传输协议，不保证可靠交付，也不维护连接状态，因此协议开销小、时延低。其典型应用场景包括 DNS 查询、实时音视频、在线游戏等更关注实时性的场景。

- 关键概念：无连接传输协议、可靠性不高。
- 步骤",computer_networks.md(0.9102); computer_networks.md(0.7823); computer_networks.md(0.4248); ai_rag_notes.md(0.4163),1,0.3333,0.0,1,0.6048,126.6462,127.2511,
hybrid,5,网络,CIDR 中 192.168.1.0/24 表示什么？,它表示前 24 位是网络前缀，对应 192.168.1.0 这个网络范围。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"CIDR 中 192.168.1.0/24 表示前 24 位是网络前缀。

- 关键概念：CIDR（无类别域间路由）使用“地址/前缀长度”的方式表示网络范围，其中的“/”",computer_networks.md(1.0000); arxiv_013_2605.22779v1.md(0.3728); arxiv_011_2605.22785v1.md(0.3041); arxiv_014_2605.22776v1.md(0.3022),1,0.2,0.0,1,0.7157,116.2321,116.948,
hybrid,6,网络,HTTPS 相比 HTTP 增加了哪些安全能力？,HTTPS 在 HTTP 与 TCP 之间加入 TLS，提供身份认证、数据加密和完整性校验。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"HTTPS相比HTTP增加了身份认证、数据加密和完整性校验的安全能力。

- **身份认证**：通过TLS握手过程，服务器可以向客户端证明其真实的身份，确保用户访问的是正确的网站。
- **数据加密**：在传输过程中，HTTPS使用SSL/TLS协议对数据进行加密处理",computer_networks.md(0.8749); arxiv_002_2605.22820v1.md(0.5843); ai_rag_notes.md(0.5679); arxiv_009_2605.22791v1.md(0.5673),1,0.0,0.0,1,0.6786,119.3362,120.0148,
hybrid,7,网络,DNS 缓存有什么作用？,DNS 缓存可以减少重复查询并提高访问速度，但缓存过期时间会影响域名变更生效速度。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"DNS缓存可以减少重复查询，提高访问速度。但是，DNS缓存的过期时间设置也会影响域名变更生效的速度。

- 关键概念：DNS缓存存储了最近解析过的域名及其对应的IP地址记录。
- 步骤或原因：
  1. 当客户端需要解析",computer_networks.md(0.9476); computer_networks.md(0.6611); computer_networks.md(0.4894); arxiv_002_2605.22820v1.md(0.4257),1,0.0,0.0,1,0.6661,147.3852,148.0514,
hybrid,8,操作系统,进程和线程的核心区别是什么？,进程是资源分配和保护的基本单位，线程是 CPU 调度的基本单位；同一进程内线程共享地址空间和资源。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"进程和线程的主要区别在于它们的资源拥有情况和调度机制。进程是操作系统进行资源分配的基本单位，每个进程拥有独立的地址空间、打开文件等资源；而线程则是CPU调度的基本单位，在同一进程中多个线程共享进程的地址空间和其他大部分资源。

1.",operating_systems.md(0.8125); operating_systems.md(0.4023); computer_networks.md(0.4000); ai_rag_notes.md(0.3770),1,0.0,0.0,1,0.6909,136.5748,137.2659,
hybrid,9,操作系统,线程共享数据为什么还需要锁或信号量？,线程共享进程地址空间，多个线程并发访问共享数据可能产生竞态条件，因此需要同步机制。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"线程共享数据时需要使用锁或信号量来处理并发访问带来的竞态条件。这是因为多个线程可能同时读写同一块共享内存区域，如果缺乏同步机制，可能会导致数据不一致或其他错误。

1. **关键概念**：线程是CPU调度的基本单位，在同一个进程中",operating_systems.md(0.8318); database_systems.md(0.4722); computer_networks.md(0.4423); ai_rag_notes.md(0.4239),1,0.8,0.0,1,0.6906,169.273,169.9637,
hybrid,10,操作系统,时间片轮转调度为什么适合交互式系统？,时间片轮转为每个就绪进程分配固定时间片，提升公平性和响应性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"时间片轮转调度算法在交互式系统中表现良好，因为它能够为每个就绪进程分配固定的时间片，从而确保每个进程都能定期获得CPU的执行机会。这样可以提高系统的响应性和公平性。

- 关键概念：时间片轮转是一种动态优先级调度策略，它",operating_systems.md(0.7571); database_systems.md(0.4287); ai_rag_notes.md(0.3621); computer_networks.md(0.3510),1,0.9615,0.0,1,0.8054,156.3709,157.1764,
hybrid,11,操作系统,虚拟内存的作用是什么？,虚拟内存将进程地址空间与物理内存解耦，扩大可用地址空间、提供隔离并支持按需分页。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"虚拟内存的主要作用是扩大可用地址空间、提供进程隔离、简化程序装载以及支持按需分页。

- 关键概念：虚拟内存通过将进程看到的地址空间与物理内存解耦来实现上述功能。操作系统使用页表将虚拟页映射到物理页框，并可以将",operating_systems.md(0.8500); operating_systems.md(0.6028); computer_networks.md(0.5271); computer_networks.md(0.4159),1,1.0,0.0,1,0.702,141.2855,141.9876,
hybrid,12,操作系统,缺页中断频繁会导致什么问题？,频繁缺页会使系统不断换入换出页面，导致抖动和性能下降。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"缺页中断频繁会导致系统抖动和性能下降。

- 关键概念：缺页中断是指当操作系统尝试访问一个不在物理内存中的虚拟地址时发生的中断。这通常意味着需要将该页面从磁盘加载到内存中。
- 步骤或原因：每当发生缺页中断，",operating_systems.md(0.8173); ai_rag_notes.md(0.4418); computer_networks.md(0.4000); database_systems.md(0.3798),1,0.84,0.0,1,0.6796,127.9918,128.6716,
hybrid,13,操作系统,死锁产生的四个必要条件是什么？,四个必要条件是互斥、占有并等待、不可抢占和循环等待。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"死锁产生的四个必要条件分别是互斥、占有并等待、不可抢占和循环等待。

- 互斥：至少有一个资源不能被多个进程同时使用。这意味着当一个进程正在使用某个资源时，其他进程必须等待直到该进程释放资源。
- 占有并等待：进程已经",operating_systems.md(0.7598); computer_networks.md(0.4000); computer_networks.md(0.3584); ai_rag_notes.md(0.3432),1,1.0,0.0,1,0.7155,142.2003,142.9159,
hybrid,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"银行家算法属于死锁避免策略。

### 关键概念与步骤：
- **互斥条件**：资源分配时只能一次一个进程使用。
- **请求和保持条件**：进程已持有至少一个资源，并且申请新的资源。
- **不剥夺条件**：进程不能被强制释放",operating_systems.md(0.7950); operating_systems.md(0.4240); database_systems.md(0.4000); database_systems.md(0.3770),1,0.5758,0.0,1,0.6866,154.9175,155.6042,
hybrid,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"日志文件系统通过记录元数据操作日志，在系统崩溃后能够恢复文件系统的结构一致性。这主要因为日志文件系统在真正修改文件系统结构之前会先记录这些操作。

1. **关键概念**：日志文件系统使用日志来跟踪对文件系统的所有重要更改",operating_systems.md(0.7415); database_systems.md(0.4439); ai_rag_notes.md(0.4212); ai_rag_notes.md(0.4136),1,0.9032,0.0,1,0.6876,156.1977,156.8855,
hybrid,16,数据库,关系数据库中的主键和外键分别有什么作用？,主键唯一标识表中记录，外键表达表之间的引用关系。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"主键用于唯一标识关系数据库表中的记录，而外键则用于表达不同表之间的引用关系。

- 关键概念：主键是确保每个元组在表中唯一性的属性。它不允许重复值，并且不能为 NULL。外键则是定义在一张表中用来与其他表建立",database_systems.md(0.8464); database_systems.md(0.5224); computer_networks.md(0.4198); ai_rag_notes.md(0.3992),1,1.0,0.0,1,0.6763,158.6554,159.3319,
