prompt_variant,id,category,question,reference_answer,expected_source,model,top_k,num_predict,timeout,context_expansion,success,answer,top_sources,retrieval_hit,reference_overlap,reasoning_faithfulness,retrieval_rounds,retrieve_time,generate_time,total_time,error
baseline,17,数据库,数据库规范化的目的是什么？,规范化用于减少数据冗余和更新异常，提高数据一致性。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"数据库规范化的主要目的是减少数据冗余和更新异常，从而提高数据的一致性和完整性。

- 关键概念：第一范式要求属性不可再分；第二范式要求非主属性完全依赖候选键；第三范式要求非主属性不传递依赖候选键。
- 步骤或",database_systems.md(0.7716); ai_rag_notes.md(0.4000); computer_networks.md(0.3899); computer_networks.md(0.3646),1,0.913,0.0,1,0.5878,123.9683,124.5562,
baseline,18,数据库,第三范式主要约束什么问题？,第三范式要求非主属性不传递依赖候选键，以减少传递依赖带来的异常。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"第三范式主要用于解决非主属性对候选键的传递依赖问题。

- 关键概念：在数据库设计中，第三范式（3NF）要求一个关系模式中的所有非主属性都完全函数依赖于整个候选键。这意味着不能存在这样的情况：某个非主属性A依赖于",database_systems.md(0.8500); ai_rag_notes.md(0.5739); ai_rag_notes.md(0.4313); ai_rag_notes.md(0.4081),1,0.75,0.0,1,0.5671,139.1098,139.6769,
baseline,19,数据库,B+ 树索引为什么适合范围查询？,B+ 树叶子节点按键值有序并通过链表相连，便于顺序扫描范围数据。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"B+树索引适合范围查询的原因在于其结构特点：叶子节点按键值有序，并通过链表相连。这种特性使得在进行范围查询时可以高效地定位到起始位置并顺序遍历至结束位置。

1. **关键概念**：B+树是一种多路平衡查找",database_systems.md(0.8500); computer_networks.md(0.3576); computer_networks.md(0.3520); database_systems.md(0.3373),1,0.0,0.0,1,0.6105,95.6081,96.2186,
baseline,20,数据库,索引会带来哪些代价？,索引会占用额外存储空间，并增加插入、删除、更新时维护索引的开销。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"索引能提高读取性能，但也会带来额外的存储空间占用以及在插入、删除和更新时维护索引的开销。

- 索引会占用额外的存储空间。这是因为索引需要为每个键值创建一个数据结构来存储指向实际记录的位置信息。
-",database_systems.md(0.8022); database_systems.md(0.4520); arxiv_002_2605.22820v1.md(0.3923); computer_networks.md(0.3916),1,0.8966,0.0,1,0.4486,124.0499,124.4986,
baseline,21,数据库,事务 ACID 分别表示什么？,ACID 表示原子性、一致性、隔离性和持久性。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"事务ACID分别代表原子性（Atomicity）、一致性（Consistency）、隔离性（Isolation）和持久性（Durability）。这四个特性确保了数据库操作的正确性和可靠性。

- 原子性：保证事务中的所有操作要么全部成功执行，要么全部不执行。
-",database_systems.md(0.9179); database_systems.md(0.8267); computer_networks.md(0.4265); ai_rag_notes.md(0.3350),1,0.0,0.0,1,0.5346,133.9153,134.45,
baseline,22,数据库,MVCC 如何减少读写冲突？,MVCC 保存数据多个版本，让读操作读取一致性快照，从而减少读写冲突。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"MVCC 通过保存数据的多个版本，让读操作可以读取一致性快照，从而减少读写冲突。

- 关键概念：MVCC（多版本并发控制）是一种数据库技术，它允许在事务执行期间存在多个数据版本。
- 步骤或原因：
  1",database_systems.md(0.8527); arxiv_020_2605.22765v1.md(0.4099); arxiv_004_2605.22814v1.md(0.3879),1,0.5,0.0,1,0.5718,95.882,96.4539,
baseline,23,人工智能,Transformer 为什么不依赖循环结构也能建模序列关系？,Transformer 通过自注意力计算序列中不同位置之间的关联，并使用位置编码补充词序信息。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"Transformer 不依赖循环结构也能建模序列关系，主要是通过自注意力机制实现了不同位置之间的关联。

1. **关键概念**：Transformer 采用的是自注意力（Self-Attention）机制。在传统的循环神经网络中，信息是通过递归或循环的方式逐个处理的，这限制",ai_rag_notes.md(0.9535); cse_017_acknowledgments.md(0.5139); cse_006_data-processing.md(0.5075); arxiv_015_2605.22775v1.md(0.4583),1,0.5,0.0,1,0.8213,102.7332,103.5546,
baseline,24,人工智能,多头注意力的作用是什么？,多头注意力可以在多个表示子空间中学习不同关系，增强模型表达能力。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"多头注意力机制能够学习序列中不同位置之间的多种关系，并通过多个并行的注意力子空间进行信息提取。

- 多头注意力机制的关键在于它可以在不同的表示子空间中学习到输入序列中的不同关系。具体来说，在一个Transformer模型中，输入序列会被映射到高",ai_rag_notes.md(0.8500); computer_networks.md(0.4775); computer_networks.md(0.4175); database_systems.md(0.3238),1,0.8966,0.0,1,0.6311,145.6877,146.3189,
baseline,25,RAG,Ollama 本地部署在课程设计中有什么优势？,本地部署使专业文档无需上传第三方服务，便于保护隐私和复现实验环境。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"Ollama 本地部署在课程设计中的优势在于保护专业文档隐私并方便复现实验环境。

1. **保护专业文档隐私**：通过本地部署大语言模型，可以避免将敏感数据上传到第三方服务，从而有效防止数据泄露。这确保了用户的数据安全和隐私。",ai_rag_notes.md(0.9068); computer_networks.md(0.4199); operating_systems.md(0.3220); computer_networks.md(0.3130),1,0.9091,0.0,1,0.5505,151.248,151.7985,
baseline,26,RAG,Embedding 在 RAG 中承担什么任务？,Embedding 把文本映射为高维向量，使系统能用余弦相似度进行语义检索。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"Embedding 在 RAG 系统中用于将文本转换为高维向量表示，使得语义相近的文本在向量空间中的距离更近。这有助于提高检索相关性。

- 关键概念：Embedding 模型通过学习文本特征，将其映射到一个高维",ai_rag_notes.md(0.8316); ai_rag_notes.md(0.8300); cse_006_data-processing.md(0.7637); cse_005_dataset-size.md(0.6068),1,0.5,0.0,1,0.5602,119.1773,119.7376,
baseline,27,RAG,RAG 的基本流程是什么？,RAG 流程包括文档解析、文本切分、向量化入库、问题向量化、相似度检索、Prompt 拼接和答案生成。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"RAG（Retrieval-Augmented Generation）的基本流程包括文档解析、文本切分、向量化入库、问题向量化、相似度检索、Prompt 拼接和答案生成。

1. **文档解析**：首先对输入的文档进行解析，提取出关键信息。
2. **",ai_rag_notes.md(1.0000); cse_009_using-with-rag-systems.md(0.6112); ai_rag_notes.md(0.6111); operating_systems.md(0.5471),1,0.3333,0.0,1,0.5835,143.8993,144.483,
baseline,28,RAG,RAG 可以缓解大模型的哪些问题？,RAG 可以缓解知识过时、专业知识不足和幻觉问题。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"RAG（Retrieval-Augmented Generation）系统可以缓解大模型的知识过时、专业知识不足和幻觉问题。

1. **知识过时**：通过结合外部知识库检索最新的信息，RAG 系统能够提供更准确且及时的答案。当大模型中的知识已经过时",ai_rag_notes.md(0.9696); ai_rag_notes.md(0.6744); cse_009_using-with-rag-systems.md(0.5338); cse_001_cse-course-rag-dataset.md(0.4946),1,0.0,0.0,1,0.6444,131.32,131.9645,
baseline,29,RAG,专业文档问答的 Prompt 为什么要要求拒绝编造？,因为检索片段可能没有答案，拒绝编造可以降低幻觉并提升答案可信度。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"专业文档问答的Prompt要求拒绝编造是为了确保答案的准确性和可靠性。这一步骤能够保证生成的答案基于提供的资料，避免模型根据自身知识或假设进行回答。

1. **关键概念**：在专业文档问答场景中，用户通常期望获得精确、可靠的信息，这些信息直接",ai_rag_notes.md(0.9782); ai_rag_notes.md(0.8337); ai_rag_notes.md(0.3520); database_systems.md(0.3433),1,0.4643,0.0,1,0.6086,140.0333,140.6421,
baseline,30,RAG,影响 RAG 最终效果的关键因素有哪些？,检索质量、文档切分策略和提示词约束会直接影响最终问答效果。,ai_rag_notes.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"影响RAG最终效果的关键因素主要包括检索质量、切分策略和提示词约束。

- 检索质量：文档解析后的片段需要准确地被向量化并存储在知识库中。当用户提问时，系统通过余弦相似度计算问题与片段之间的匹配程度，高质量的",ai_rag_notes.md(0.9274); cse_009_using-with-rag-systems.md(0.6647); ai_rag_notes.md(0.5464); cse_001_cse-course-rag-dataset.md(0.5303),1,0.8621,0.0,1,0.539,121.0853,121.6244,
stepwise,1,网络,计算机网络采用分层体系结构的主要意义是什么？,分层可以降低复杂度，使每层只关注本层职责并通过接口向上层提供服务，便于协议替换和故障定位。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段1提供了关于计算机网络分层体系结构的信息，明确指出了其主要意义。因此，这些信息是充分的。

## 步骤 2：关键事实提取
从参考资料中提取与问题相关的关键事实：
- [片段1",computer_networks.md(0.8500); computer_networks.md(0.3656); ai_rag_notes.md(0.3626); database_systems.md(0.3553),1,0.1951,0.0,1,0.4689,196.9817,197.4507,
stepwise,2,网络,OSI 参考模型包含哪些层？,OSI 参考模型包含物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段1提供了关于OSI参考模型的信息。因此，信息是充足的，可以继续进行下一步。

## 步骤 2：关键事实提取
[片段1] 计算机网络通常采用分层体系结构来降低系统复杂度",computer_networks.md(0.9195); arxiv_004_2605.22814v1.md(0.4654); arxiv_012_2605.22781v1.md(0.4421); ai_rag_notes.md(0.4369),1,0.0,1.0,1,0.6401,109.0858,109.726,
stepwise,3,网络,TCP 为什么适合文件传输和网页访问？,TCP 面向连接并提供可靠传输，使用确认、重传、流量控制和拥塞控制保证数据可靠到达。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料片段1提供了关于TCP协议的详细描述，说明了它为何适合文件传输和网页访问。因此，知识库中的信息是充足的。

## 步骤 2：关键事实提取
[片段1] TCP 是面向连接的可靠传输协议",computer_networks.md(0.9002); computer_networks.md(0.4499); ai_rag_notes.md(0.4000); database_systems.md(0.3712),1,0.5,1.0,1,0.6259,167.7376,168.3636,
stepwise,4,网络,UDP 的特点和典型应用场景是什么？,UDP 无连接、开销小、时延低，不保证可靠交付，常用于 DNS、实时音视频和在线游戏。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段1提供了关于UDP的详细描述，包括其特点及其典型应用场景。因此，这些信息足以回答用户的问题。

## 步骤 2：关键事实提取
[片段1] UDP 是无连接传输协议。它不保证可靠交付",computer_networks.md(0.9102); computer_networks.md(0.7823); computer_networks.md(0.4248); ai_rag_notes.md(0.4163),1,0.3333,1.0,1,0.5819,122.8857,123.4676,
stepwise,5,网络,CIDR 中 192.168.1.0/24 表示什么？,它表示前 24 位是网络前缀，对应 192.168.1.0 这个网络范围。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中提供了关于 CIDR 的相关信息，因此信息是充足的。

## 步骤 2：关键事实提取
[片段1] 文件：computer_networks.md
CIDR 使用“地址/前缀长度”的方式表示网络范围，例如 1",computer_networks.md(1.0000); arxiv_013_2605.22779v1.md(0.3728); arxiv_011_2605.22785v1.md(0.3041); arxiv_014_2605.22776v1.md(0.3022),1,0.0,1.0,1,0.4541,119.9577,120.4119,
stepwise,6,网络,HTTPS 相比 HTTP 增加了哪些安全能力？,HTTPS 在 HTTP 与 TCP 之间加入 TLS，提供身份认证、数据加密和完整性校验。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中提供了关于 HTTPS 的相关信息，可以回答用户的问题。

## 步骤 2：关键事实提取
从参考资料中提取与问题相关的关键事实：
- [片段4] HTTPS 在 HTTP 与 TCP 之间加入 TLS 加密层，用于",computer_networks.md(0.8749); arxiv_002_2605.22820v1.md(0.5843); ai_rag_notes.md(0.5679); arxiv_009_2605.22791v1.md(0.5673),1,0.8571,1.0,1,0.6286,121.845,122.4737,
stepwise,7,网络,DNS 缓存有什么作用？,DNS 缓存可以减少重复查询并提高访问速度，但缓存过期时间会影响域名变更生效速度。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段2和片段3提到了 DNS 解析，但没有直接提及 DNS 缓存的作用。片段4与 DNS 缓解无关。片段1中提到“DNS缓存可以减少重复查询，提高访问速度”，这正是我们要找的答案",computer_networks.md(0.9476); computer_networks.md(0.6611); computer_networks.md(0.4894); arxiv_002_2605.22820v1.md(0.4257),1,0.5,0.0,1,0.6633,131.4197,132.0831,
stepwise,8,操作系统,进程和线程的核心区别是什么？,进程是资源分配和保护的基本单位，线程是 CPU 调度的基本单位；同一进程内线程共享地址空间和资源。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的信息足以回答用户关于进程和线程核心区别的问题。

## 步骤 2：关键事实提取
从参考资料中提取与问题相关的关键事实：
- [片段1] 进程是操作系统进行资源分配和保护的基本单位",operating_systems.md(0.8125); operating_systems.md(0.4023); computer_networks.md(0.4000); ai_rag_notes.md(0.3770),1,0.0,1.0,1,0.5918,143.6841,144.2759,
stepwise,9,操作系统,线程共享数据为什么还需要锁或信号量？,线程共享进程地址空间，多个线程并发访问共享数据可能产生竞态条件，因此需要同步机制。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的信息足以回答该问题。

## 步骤 2：关键事实提取
[片段1] 线程是 CPU 调度的基本单位，同一进程内的多个线程共享进程地址空间和大部分资源，但各自拥有程序",operating_systems.md(0.8318); database_systems.md(0.4722); computer_networks.md(0.4423); ai_rag_notes.md(0.4239),1,0.4571,1.0,1,0.6653,148.7596,149.425,
stepwise,10,操作系统,时间片轮转调度为什么适合交互式系统？,时间片轮转为每个就绪进程分配固定时间片，提升公平性和响应性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段2和片段3与用户问题相关的信息较少，但片段1中提供了关于时间片轮转调度的相关内容。因此，可以继续进行下一步。

## 步骤 2：关键事实提取
从参考资料中提取与问题相关的关键",operating_systems.md(0.7571); database_systems.md(0.4287); ai_rag_notes.md(0.3621); computer_networks.md(0.3510),1,0.3846,0.0,1,0.4851,165.5487,166.0338,
stepwise,11,操作系统,虚拟内存的作用是什么？,虚拟内存将进程地址空间与物理内存解耦，扩大可用地址空间、提供隔离并支持按需分页。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的片段1和片段3提到了虚拟内存的相关内容，可以用来回答用户的问题。因此信息是充分的。

## 步骤 2：关键事实提取
从参考资料中提取与问题相关的关键事实：
- [片段1]",operating_systems.md(0.8500); operating_systems.md(0.6028); computer_networks.md(0.5271); computer_networks.md(0.4159),1,0.3235,1.0,1,0.6692,152.4755,153.1448,
stepwise,12,操作系统,缺页中断频繁会导致什么问题？,频繁缺页会使系统不断换入换出页面，导致抖动和性能下降。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中提到了虚拟内存的相关内容，并明确说明了缺页中断发生时的操作，以及频繁缺页可能导致的问题。因此，知识库中的信息是充足的。

## 步骤 2：关键事实提取
[片段1] 虚拟",operating_systems.md(0.8173); ai_rag_notes.md(0.4418); computer_networks.md(0.4000); database_systems.md(0.3798),1,0.4,1.0,1,0.593,134.1869,134.7801,
stepwise,13,操作系统,死锁产生的四个必要条件是什么？,四个必要条件是互斥、占有并等待、不可抢占和循环等待。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
根据参考资料中的内容，[片段2] 提到了死锁的相关信息，并明确列出了产生死锁的四个必要条件。因此，知识库中提供的信息是充足的。

## 步骤 2：关键事实提取
从参考资料中提取与问题",operating_systems.md(0.7598); computer_networks.md(0.4000); computer_networks.md(0.3584); ai_rag_notes.md(0.3432),1,0.4091,1.0,1,0.5676,143.6769,144.2446,
stepwise,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中提供了关于死锁的信息，包括产生死锁的必要条件以及处理死锁的几种策略。因此，这些信息足以回答用户的问题。

## 步骤 2：关键事实提取
[片段1] 文件：operating_systems.md",operating_systems.md(0.7950); operating_systems.md(0.4240); database_systems.md(0.4000); database_systems.md(0.3770),1,0.2727,1.0,1,0.5974,155.9191,156.5166,
stepwise,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"## 步骤 1：信息评估
参考资料中的信息足以回答用户的问题。

## 步骤 2：关键事实提取
从[片段3]中提取了与日志文件系统相关的关键事实：
- [片段3] 文件：ai_rag_notes.md，综合分：0.",operating_systems.md(0.7415); database_systems.md(0.4439); ai_rag_notes.md(0.4212); ai_rag_notes.md(0.4136),1,0.2581,1.0,1,0.5472,164.766,165.3133,
